timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1766274008944,75,API Gateway - Health Check,404,Not Found,01 - Health Check Tests 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",154,126,1,4,http://localhost:8000/api/health,66,0,46
1766274008944,546,Anonymize Document,500,,03 - DeID Service Performance 3-1,text,false,,297,453,1,4,http://localhost:8002/api/deid/anonymize,546,0,46
1766274009491,31,Anonymize Document,500,,03 - DeID Service Performance 3-1,text,false,,297,453,1,4,http://localhost:8002/api/deid/anonymize,31,0,2
1766274009523,9,Anonymize Document,500,,03 - DeID Service Performance 3-1,text,false,,297,453,1,4,http://localhost:8002/api/deid/anonymize,9,0,1
1766274009533,15,Anonymize Document,500,,03 - DeID Service Performance 3-1,text,false,,297,453,1,4,http://localhost:8002/api/deid/anonymize,14,0,2
1766274009549,13,Anonymize Document,500,,03 - DeID Service Performance 3-1,text,false,,297,453,1,4,http://localhost:8002/api/deid/anonymize,13,0,1
1766274009563,9,Anonymize Document,500,,03 - DeID Service Performance 3-1,text,false,,297,453,1,4,http://localhost:8002/api/deid/anonymize,9,0,1
1766274008944,635,Create Audit Log,405,,02 - Audit Logger Performance 2-1,text,false,,386,414,1,4,http://localhost:8006/api/audit/logs,634,0,46
1766274009029,551,Audit Logger - Health Check,404,,01 - Health Check Tests 1-1,text,false,,367,132,1,4,http://localhost:8006/api/audit/health,549,0,2
1766274009580,2,API Gateway - Health Check,404,Not Found,01 - Health Check Tests 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",154,126,1,4,http://localhost:8000/api/health,2,0,0
1766274009573,16,Anonymize Document,500,,03 - DeID Service Performance 3-1,text,false,,297,453,1,4,http://localhost:8002/api/deid/anonymize,16,0,1
1766274009592,8,Anonymize Document,500,,03 - DeID Service Performance 3-1,text,false,,297,453,1,4,http://localhost:8002/api/deid/anonymize,7,0,1
1766274009583,35,Audit Logger - Health Check,404,,01 - Health Check Tests 1-1,text,false,,367,132,1,4,http://localhost:8006/api/audit/health,35,0,0
1766274009600,20,Anonymize Document,500,,03 - DeID Service Performance 3-1,text,false,,297,453,1,4,http://localhost:8002/api/deid/anonymize,20,0,1
1766274009619,3,API Gateway - Health Check,404,Not Found,01 - Health Check Tests 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",154,126,1,4,http://localhost:8000/api/health,3,0,0
1766274009621,11,Anonymize Document,500,,03 - DeID Service Performance 3-1,text,false,,297,454,1,4,http://localhost:8002/api/deid/anonymize,11,0,1
1766274009622,26,Audit Logger - Health Check,404,,01 - Health Check Tests 1-1,text,false,,367,132,1,4,http://localhost:8006/api/audit/health,19,0,0
1766274009633,18,Anonymize Document,500,,03 - DeID Service Performance 3-1,text,false,,297,454,1,4,http://localhost:8002/api/deid/anonymize,18,0,1
1766274009649,4,API Gateway - Health Check,404,Not Found,01 - Health Check Tests 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",154,126,1,4,http://localhost:8000/api/health,4,0,0
1766274009652,10,Anonymize Document,500,,03 - DeID Service Performance 3-1,text,false,,297,454,1,4,http://localhost:8002/api/deid/anonymize,10,0,1
1766274009654,15,Audit Logger - Health Check,404,,01 - Health Check Tests 1-1,text,false,,367,132,1,4,http://localhost:8006/api/audit/health,15,0,0
1766274009662,8,Anonymize Document,500,,03 - DeID Service Performance 3-1,text,false,,297,454,1,4,http://localhost:8002/api/deid/anonymize,7,0,1
1766274009669,4,API Gateway - Health Check,404,Not Found,01 - Health Check Tests 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",154,126,1,4,http://localhost:8000/api/health,4,0,0
1766274009673,20,Audit Logger - Health Check,404,,01 - Health Check Tests 1-1,text,false,,367,132,1,4,http://localhost:8006/api/audit/health,15,0,0
1766274009670,25,Anonymize Document,500,,03 - DeID Service Performance 3-1,text,false,,297,454,1,4,http://localhost:8002/api/deid/anonymize,25,0,2
1766274009694,3,API Gateway - Health Check,404,Not Found,01 - Health Check Tests 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",154,126,1,4,http://localhost:8000/api/health,3,0,0
1766274009696,16,Anonymize Document,500,,03 - DeID Service Performance 3-1,text,false,,297,454,1,4,http://localhost:8002/api/deid/anonymize,16,0,1
1766274009698,32,Audit Logger - Health Check,404,,01 - Health Check Tests 1-1,text,false,,367,132,1,3,http://localhost:8006/api/audit/health,26,0,0
1766274009731,3,API Gateway - Health Check,404,Not Found,01 - Health Check Tests 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",154,126,1,3,http://localhost:8000/api/health,3,0,0
1766274009735,18,Audit Logger - Health Check,404,,01 - Health Check Tests 1-1,text,false,,367,132,1,3,http://localhost:8006/api/audit/health,18,0,0
1766274009754,3,API Gateway - Health Check,404,Not Found,01 - Health Check Tests 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",154,126,1,3,http://localhost:8000/api/health,3,0,0
1766274009768,7,API Gateway - Health Check,404,Not Found,01 - Health Check Tests 1-2,text,false,"Test failed: code expected to equal /

****** received  : [[[404]]]

****** comparison: [[[200]]]

/",154,126,2,6,http://localhost:8000/api/health,7,0,1
1766274009774,16,Anonymize Document,500,,03 - DeID Service Performance 3-2,text,false,,297,453,1,6,http://localhost:8002/api/deid/anonymize,16,0,1
1766274009758,35,Audit Logger - Health Check,404,,01 - Health Check Tests 1-1,text,false,,367,132,2,6,http://localhost:8006/api/audit/health,33,0,0
